longitude,latitude,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
36.3191751592684,32.3040106991784,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,,6,"D01-B01-H047,D01-B01-H048,D01-B01-H049,D01-B01-H052,D01-B01-H053,D01-B01-H054"
36.3195077352339,32.3039196667313,D01-B01-T02,D1-B1-T2,1,1,2,4,160,,,,,,,,8,"D01-B01-H040,D01-B01-H041,D01-B01-H042,D01-B01-H043,D01-B01-H044,D01-B01-H045,D01-B01-H046,D01-B01-H049"
36.3199894478145,32.3036575596642,D01-B01-T03,D1-B1-T3,1,1,3,4,160,,,,,,,,7,"D01-B01-H033,D01-B01-H034,D01-B01-H035,D01-B01-H036,D01-B01-H037,D01-B01-H038,D01-B01-H039"
36.3202132256551,32.3035140425236,D01-B01-T04,D1-B1-T4,1,1,4,4,160,,,,,,,,7,"D01-B01-H023,D01-B01-H027,D01-B01-H028,D01-B01-H029,D01-B01-H030,D01-B01-H031,D01-B01-H032"
36.3206989281545,32.3036493495732,D01-B01-T05,D1-B1-T5,1,1,5,4,160,,,,,,,,7,"D01-B01-H019,D01-B01-H020,D01-B01-H021,D01-B01-H022,D01-B01-H024,D01-B01-H025,D01-B01-H026"
36.3210345642808,32.303447905625,D01-B01-T06,D1-B1-T6,1,1,6,4,160,,,,,,,,6,"D01-B01-H013,D01-B01-H014,D01-B01-H015,D01-B01-H016,D01-B01-H017,D01-B01-H018"
36.3213425857891,32.3033618390605,D01-B01-T07,D1-B1-T7,1,1,7,4,160,,,,,,,,4,"D01-B01-H008,D01-B01-H009,D01-B01-H010,D01-B01-H012"
36.3216255011768,32.3033004550517,D01-B01-T08,D1-B1-T8,1,1,8,4,160,,,,,,,,6,"D01-B01-H001,D01-B01-H002,D01-B01-H003,D01-B01-H004,D01-B01-H006,D01-B01-H007"
36.3189243490128,32.3036926587709,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,,10,"D01-B01-H050,D01-B01-H051,D01-B02-H028,D01-B02-H029,D01-B02-H030,D01-B02-H033,D01-B02-H034,D01-B03-H022,D01-B03-H023,D01-B03-H024"
36.3191408234553,32.3035352850581,D01-B02-T02,D1-B2-T2,1,2,2,4,180,,,,,,,,7,"D01-B02-H025,D01-B02-H026,D01-B02-H036,D01-B02-H037,D01-B03-H019,D01-B03-H020,D01-B03-H021"
36.3196884978816,32.303558276562,D01-B02-T03,D1-B2-T3,1,2,3,4,160,,,,,,,,3,"D01-B02-H022,D01-B02-H023,D01-B02-H024"
36.3199313270771,32.3034037003603,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,,10,"D01-B02-H016,D01-B02-H017,D01-B02-H018,D01-B02-H019,D01-B02-H020,D01-B02-H021,D01-B02-H041,D01-B02-H042,D01-B02-H043,D01-B02-H044"
36.3203120699491,32.3032289930151,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,,7,"D01-B02-H013,D01-B02-H014,D01-B02-H015,D01-B02-H045,D01-B02-H046,D01-B02-H047,D01-B02-H048"
36.3206818676128,32.3032486180257,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,,6,"D01-B02-H010,D01-B02-H011,D01-B02-H012,D01-B02-H049,D01-B02-H050,D01-B02-H051"
36.321031141143,32.3030645123577,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,,12,"D01-B02-H003,D01-B02-H004,D01-B02-H005,D01-B02-H006,D01-B02-H007,D01-B02-H008,D01-B02-H009,D01-B02-H053,D01-B02-H054,D01-B02-H055,D01-B02-H056,D01-B02-H057"
36.3215089836634,32.3029058759382,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,,7,"D01-B01-H005,D01-B02-H001,D01-B02-H002,D01-B02-H003,D01-B02-H058,D01-B02-H060,D01-B03-H002"
36.3174898242721,32.3034748624658,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,,5,"D01-B03-H082,D01-B03-H083,D01-B03-H088,D01-B03-H089,D01-B03-H090"
36.3179649782707,32.303394085949,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,,10,"D01-B03-H079,D01-B03-H080,D01-B03-H081,D01-B03-H084,D01-B03-H085,D01-B03-H086,D01-B03-H097,D01-B04-H034,D01-B04-H035,D01-B04-H045"
